"customer_id","rfm_segment","total_spend","order_count","recency_days"
"dc4802a71eae9be1dd28f5d788ceb526","At Risk","6929.31",1,612
"459bef486812aa25204be022145caa62","Regular","6922.21",1,84
"ff4159b92c40ebe40454e3e6a7c35ed6","At Risk","6726.66",1,511
"eebb5dda148d3893cdaf5b5ca3040ccb","At Risk","4764.34",1,547
"48e1ac109decbb87765a3eade6854098","Regular","4681.78",1,117
"edde2314c6c30e864a128ac95d6b2112","Regular","4513.32",1,75
"fa562ef24d41361e476e748681810e1e","Regular","4175.26",1,202
"ca27f3dac28fb1063faddd424c9d95fa","Regular","4163.51",1,80
"5e713be0853d8986528d7869a0811d2b","At Risk","4042.74",1,620
"011875f0176909c5cf0b14a9138bb691","At Risk","4016.91",1,578
"f0767ae738c3d90e7b737d7b8b8bb4d1","Regular","3979.55",1,156
"bc5e25094a7d51b6aee35236572e64f4","Regular","3826.80",1,264
"3fec1a05177762f279472253113d568a","Regular","3792.59",1,210
"5d09b0d82126457e2a8ebfb9c9a1ffc4","At Risk","3736.22",1,614
"03796b63235e0e0a299084988c662c7e","At Risk","3602.47",1,603
"2c3b08cf3584d8c0a81d9618a73aa219","Regular","3526.46",1,191
"95a744604de66a2e40e18086e69be4f2","Regular","3406.47",1,103
"ce3fe361f9e68bf0a813baaae1334d01","Regular","3351.35",1,63
"bbeb907759ef5fc169099af3c88d535d","Regular","3209.72",1,173
"6f00d356a4be20527662aaf12116baab","Regular","3184.55",1,331
"46450c74a0d8c5ca9395da1daac6c120","Regular","3184.34",1,85
"53fb3435773a4690e56010b169ee2820","Regular","3155.82",1,250
"895617ab63a9ad8881d9470f7427cd25","Regular","3126.50",1,377
"c6111f70f40b3420e387493c627c27fa","Regular","3126.50",1,372
"f886a3f43af9ac928fbb4b56436c528c","Regular","3076.13",1,63
"ff0ae98646e7bbb41cf0f0d3991fef98","At Risk","3048.27",1,499
"0f75637a7e2f7b6ae43665d1f7d0ca5d","At Risk","3044.12",1,588
"2ae8173a688e326821403a5b7a6858c2","At Risk","3042.36",1,576
"6172bd5b7f52ade8c6c4548b448ff54f","At Risk","3041.73",1,468
"ea984b06b18cc6905bc2f9b0a3d1c986","At Risk","3024.08",1,569
"ee2bb06c1d3f368e92084edefb7e4b57","At Risk","3016.01",1,624
"ae04948ad7210ea76801b331080e0b3a","At Risk","3009.53",1,560
"4683ad127301c1bcbd601a30bb22d2ba","Regular","3005.06",1,173
"129bfc164612d70a040a844b887dfec5","Regular","2960.05",1,213
"d9f8d6be11fb416742c9e35e725303f7","Regular","2938.17",1,331
"c38b132f1c68c14c0d3b32e66b796eba","Regular","2838.22",1,195
"8ad6fdb3d658f916f444aaf55a49bb29","Regular","2828.42",1,141
"c21e93b1d7b7a416d0f36fa6ebc1d60a","At Risk","2827.00",1,519
"25bedfc6317ec4a379ef49b9c1049733","Regular","2818.74",1,172
"030a810edeec1ceea314282513023587","At Risk","2794.50",1,526
"34ff67eb3466a779b2f6b6fd56a3b953","Regular","2787.87",1,139
"81d8bf17c9e450228efeedd2603edfaa","At Risk","2784.16",1,478
"acc38a550c42d17125cd25c32a464d26","Regular","2759.95",1,160
"1e7097be947ad5d0f7819bdc9d8d7d0e","At Risk","2751.24",1,559
"0de97ff655abfc142ba6fc83e86bf082","Regular","2734.66",1,319
"149b43a4776ea0a773ac75bc58830fb9","At Risk","2734.11",1,486
"13d9920a16127351540bcd95ad4643c8","Regular","2733.63",1,300
"f140f377d666848e3712b51a2734d120","Regular","2713.36",1,79
"5e92460d739e8dd987e279285a1d278c","Regular","2713.36",1,65
"bb149f7e7bfee3d984e265d0eae6181b","At Risk","2681.29",1,499
